Facility,Full Lockdown,Partial Lockdown,Date,Time,Shift,Error
logan correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 01:38:45.227208-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 02:25:28.535276-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 03:35:27.412877-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 04:27:10.399785-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 05:27:00.592322-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 06:21:09.765989-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
centralia correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
danville correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
decatur correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
dixon correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
east moline correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
graham correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
hill correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
illinois river correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
lawrence correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
lincoln correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
logan correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
menard correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
joliet treatment center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
robinson correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
shawnee correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
sheridan correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
stateville correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
taylorville correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
vandalia correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
vienna correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
western illinois correctional center,0,0,2025-11-21,2025-11-21 07:51:38.920552-05:00,Shift 1,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
centralia correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
danville correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
decatur correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
dixon correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
east moline correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
graham correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
hill correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
illinois river correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
lawrence correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
lincoln correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
logan correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
menard correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
joliet treatment center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
robinson correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
shawnee correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
sheridan correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
stateville correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
taylorville correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
vandalia correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
vienna correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
western illinois correctional center,0,0,2025-11-21,2025-11-21 08:32:35.096027-05:00,Shift 2,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
centralia correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
danville correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
decatur correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
dixon correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
east moline correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
graham correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
hill correctional center,1,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
illinois river correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
lawrence correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
lincoln correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
logan correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
menard correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
joliet treatment center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
robinson correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
shawnee correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
sheridan correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
stateville correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
taylorville correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
vandalia correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
vienna correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
western illinois correctional center,0,0,2025-11-21,2025-11-21 09:24:56.299561-05:00,Shift 2,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
centralia correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
danville correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
decatur correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
dixon correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
east moline correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
graham correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
hill correctional center,1,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
illinois river correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
lawrence correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
lincoln correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
logan correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
menard correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
joliet treatment center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
robinson correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
shawnee correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
sheridan correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
stateville correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
taylorville correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
vandalia correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
vienna correctional center,0,0,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
western illinois correctional center,0,1,2025-11-21,2025-11-21 10:22:43.770099-05:00,Shift 2,
big muddy river correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
centralia correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
danville correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
decatur correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
dixon correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
east moline correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
graham correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
hill correctional center,1,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
illinois river correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
jacksonville correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
lawrence correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
lincoln correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
logan correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
menard correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
pinckneyville correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
joliet treatment center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
robinson correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
shawnee correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
sheridan correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
southwestern illinois correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
stateville correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
taylorville correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
vandalia correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
vienna correctional center,0,0,2025-11-21,2025-11-21 11:30:51.661158-05:00,Shift 2,
